date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month_name,weekday,month,season,rain_intensity,dtr,decade,daylight_hours,cloud_hours,sunshine_norm,cloud_cover_norm,precipitation_norm,radiance_score,radiance_percent,radiance_label,radiance_bin,daily_energy_j_per_m2,daily_energy_j,daily_rain_litres
1979-02-20,8,0.0,27.0,3.6,1.6,0.3,0.0,103010.0,0.0,1979,February,Tuesday,2,Winter,No Rain,3.3000000000000003,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",2332800.0,27993600000000.0,0.0
1979-02-21,8,0.0,28.0,7.4,2.1,0.6,0.6,102640.0,0.0,1979,February,Wednesday,2,Winter,Light Rain,6.800000000000001,1970,12,12.0,0.0,1.0,0.00970873786407767,0.9902912621359223,33.00970873786408,Gloomy,"(28.676, 33.389]",2419200.0,29030400000000.0,7200000.0
1979-02-22,5,2.6,63.0,8.7,4.3,1.2,1.8,102790.0,0.0,1979,February,Thursday,2,Winter,Light Rain,7.499999999999999,1970,12,9.4,0.1625,0.625,0.02912621359223301,1.508373786407767,50.27912621359224,Mixed,"(47.529, 52.242]",5443200.0,65318400000000.0,21600000.0
1979-02-23,4,7.4,104.0,5.5,4.4,0.2,0.0,103430.0,0.0,1979,February,Friday,2,Winter,No Rain,5.3,1970,12,4.6,0.4625,0.5,0.0,1.9625,65.41666666666667,Bright,"(61.669, 66.382]",8985600.0,107827200000000.0,0.0
1979-02-24,4,1.9,58.0,6.9,2.9,0.3,0.0,104130.0,0.0,1979,February,Saturday,2,Winter,No Rain,6.6000000000000005,1970,12,10.1,0.11875,0.5,0.0,1.61875,53.95833333333333,Mixed,"(52.242, 56.955]",5011200.0,60134400000000.0,0.0
1979-02-25,3,8.1,112.0,6.7,1.8,-3.4,0.0,104270.0,0.0,1979,February,Sunday,2,Winter,No Rain,10.1,1970,12,3.9000000000000004,0.50625,0.375,0.0,2.13125,71.04166666666667,Bright,"(66.382, 71.095]",9676800.0,116121600000000.0,0.0
1979-02-26,6,4.2,82.0,8.9,1.6,-3.4,0.0,103590.0,0.0,1979,February,Monday,2,Winter,No Rain,12.3,1970,12,7.8,0.2625,0.75,0.0,1.5125,50.416666666666664,Mixed,"(47.529, 52.242]",7084800.0,85017600000000.0,0.0
1979-02-27,6,4.4,85.0,6.1,3.7,-1.5,0.8,102090.0,0.0,1979,February,Tuesday,2,Winter,Light Rain,7.6,1970,12,7.6,0.275,0.75,0.012944983818770227,1.5120550161812298,50.401833872707655,Mixed,"(47.529, 52.242]",7344000.0,88128000000000.0,9600000.0
1979-02-28,6,2.1,64.0,9.7,4.4,2.7,0.9,100040.0,0.0,1979,February,Wednesday,2,Winter,Light Rain,6.999999999999999,1970,12,9.9,0.13125,0.75,0.014563106796116505,1.3666868932038834,45.55622977346278,Mixed,"(42.816, 47.529]",5529600.0,66355200000000.0,10800000.0
1979-03-01,4,6.4,115.0,11.9,3.5,-2.7,0.2,101100.0,0.0,1979,March,Thursday,3,Spring,Light Rain,14.600000000000001,1970,12,5.6,0.4,0.5,0.003236245954692557,1.8967637540453075,63.22545846817692,Mixed,"(61.669, 66.382]",9936000.0,119232000000000.0,2400000.0
1979-03-02,8,0.0,35.0,12.6,6.8,1.6,0.0,101640.0,0.0,1979,March,Friday,3,Spring,No Rain,11.0,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",3024000.0,36288000000000.0,0.0
1979-03-03,8,0.1,40.0,10.5,11.0,9.4,5.3,101850.0,0.0,1979,March,Saturday,3,Spring,Moderate Rain,1.0999999999999996,1970,12,11.9,0.00625,1.0,0.08576051779935275,0.9204894822006472,30.682982740021576,Gloomy,"(28.676, 33.389]",3456000.0,41472000000000.0,63600000.0
1979-03-04,4,8.7,140.0,11.0,7.4,4.3,0.0,102410.0,0.0,1979,March,Sunday,3,Spring,No Rain,6.7,1970,12,3.3000000000000007,0.54375,0.5,0.0,2.04375,68.125,Bright,"(66.382, 71.095]",12096000.0,145152000000000.0,0.0
1979-03-05,4,6.4,121.0,9.0,5.4,-0.1,0.0,102730.0,0.0,1979,March,Monday,3,Spring,No Rain,9.1,1970,12,5.6,0.4,0.5,0.0,1.9,63.33333333333333,Mixed,"(61.669, 66.382]",10454400.0,125452800000000.0,0.0
1979-03-06,6,3.7,95.0,9.4,6.3,3.6,2.8,100950.0,0.0,1979,March,Tuesday,3,Spring,Moderate Rain,5.800000000000001,1970,12,8.3,0.23125,0.75,0.04530744336569579,1.4359425566343043,47.864751887810144,Mixed,"(47.529, 52.242]",8208000.0,98496000000000.0,33600000.0
1979-03-07,2,7.4,133.0,10.5,5.6,1.9,0.0,100800.0,0.0,1979,March,Wednesday,3,Spring,No Rain,8.6,1970,12,4.6,0.4625,0.25,0.0,2.2125,73.75,Bright,"(71.095, 75.809]",11491200.0,137894400000000.0,0.0
1979-03-08,4,5.1,113.0,11.0,5.6,0.7,8.0,101590.0,0.0,1979,March,Thursday,3,Spring,Moderate Rain,10.3,1970,12,6.9,0.31875,0.5,0.12944983818770228,1.6893001618122976,56.31000539374325,Mixed,"(52.242, 56.955]",9763200.0,117158400000000.0,96000000.0
1979-03-09,6,1.6,72.0,11.5,7.8,4.5,3.1,99940.0,0.0,1979,March,Friday,3,Spring,Moderate Rain,7.0,1970,12,10.4,0.1,0.75,0.05016181229773463,1.2998381877022653,43.32793959007551,Mixed,"(42.816, 47.529]",6220800.0,74649600000000.0,37200000.0
1979-03-10,7,0.0,40.0,13.8,5.8,0.0,3.8,100740.0,0.0,1979,March,Saturday,3,Spring,Moderate Rain,13.8,1970,12,12.0,0.0,0.875,0.061488673139158574,1.0635113268608414,35.450377562028045,Gloomy,"(33.389, 38.102]",3456000.0,41472000000000.0,45600000.0
1979-03-11,7,0.2,48.0,10.7,8.2,2.7,0.0,100110.0,0.0,1979,March,Sunday,3,Spring,No Rain,7.999999999999999,1970,12,11.8,0.0125,0.875,0.0,1.1375,37.916666666666664,Gloomy,"(33.389, 38.102]",4147200.0,49766400000000.0,0.0
1979-03-12,5,4.8,115.0,4.9,7.2,3.7,1.1,100880.0,0.0,1979,March,Monday,3,Spring,Light Rain,1.2000000000000002,1970,12,7.2,0.3,0.625,0.017799352750809065,1.6572006472491911,55.24002157497304,Mixed,"(52.242, 56.955]",9936000.0,119232000000000.0,13200000.000000002
1979-03-13,8,0.0,42.0,3.8,4.6,4.4,20.3,100800.0,0.0,1979,March,Tuesday,3,Spring,Heavy Rain,-0.6000000000000005,1970,12,12.0,0.0,1.0,0.32847896440129454,0.6715210355987055,22.38403451995685,Gloomy,"(19.249, 23.962]",3628800.0,43545600000000.0,243600000.0
1979-03-14,8,0.0,43.0,2.5,2.8,1.8,0.5,100580.0,0.0,1979,March,Wednesday,3,Spring,Light Rain,0.7,1970,12,12.0,0.0,1.0,0.008090614886731393,0.9919093851132686,33.06364617044229,Gloomy,"(28.676, 33.389]",3715200.0,44582400000000.0,6000000.0
